1,2,8
1,36,5
1,18,10
2,3,2
2,36,8
2,18,5
3,4,2
3,15,5
4,15,2
4,5,5
4,6,10
6,8,12
6,14,2
6,13,12
8,7,2
8,9,2
8,11,12
11,13,12
11,10,2
11,12,2
18,17,5
18,16,5
18,15,5
18,19,3
18,4,3
19,20,2
19,22,10
19,35,3
20,35,5
22,21,2
22,23,12
22,34,2
22,33,12
23,32,12
32,24,2
32,30,2
32,33,12
32,26,3
32,31,2
26,25,2
26,27,3
26,28,3
26,29,2
36,18,10
